Date,Open,High,Low,Close,Volume,SMA20,SMA50,EMA20,EMA50,RSI,MACD,Upper,Lower
2023-04-24,187.49053593471575,189.4916304010956,187.49053593471575,189.12408447265625,2587030,,,189.12408447265625,189.12408447265625,,,,
2023-04-25,188.79737827661938,189.7366762184007,187.77641038097903,188.06228637695312,2570946,,,188.5666404724121,188.58256744384764,,,,
2023-04-26,187.858093726622,188.38899204978503,186.22454508552093,187.65390014648438,3439487,,,188.2314876966135,188.26054856097312,,,,
2023-04-27,187.65386620514343,189.89999518039542,187.16379671625816,189.28741455078125,3349374,,,188.53631745336062,188.53286923353218,,,,
2023-04-28,189.90003660538233,191.73777889511183,189.16494467468553,190.39010620117188,4771074,,,188.98473317605635,188.93461442902276,,,,
2023-05-02,190.47174041523303,193.94303075553438,190.39007047325234,192.84039306640625,3773537,,,189.79810129639023,189.6523731717051,,,,
2023-05-03,192.79959994460523,195.16824072348882,191.61527955516345,193.4938507080078,4523385,,,190.4968760336387,190.26915754059536,,,,
2023-05-04,193.45298187890836,194.3922672607302,191.24768148161232,193.9430389404297,7248108,,,191.09256260832248,190.79520089358388,,,,
2023-05-05,194.26978009994755,194.3922912647094,192.7587425986194,193.9022216796875,3043479,,,191.5432456619325,191.1981810926184,,,,
2023-05-08,189.90002184133243,190.63511371487846,187.85808612260843,190.18589782714844,9711437,,,191.33884083920793,191.07778227170888,,,,
2023-05-09,191.7785988441489,195.04569588591295,190.7167898129783,193.0446014404297,7318928,,,191.58224063814998,191.2944392003148,,,,
2023-05-10,193.53465148445088,193.77968624627408,191.5743983158367,193.20794677734375,3650159,,,191.80370758561193,191.49126094162582,,,,
2023-05-11,193.20798860312547,194.51482017744337,192.51372537149615,192.8812713623047,2675726,,,191.94472192437183,191.62568124417788,,,,
2023-05-12,192.88123227439857,193.77968892584553,191.32936619970206,191.9827880859375,2348435,,,191.94953205045405,191.65833771054102,55.738779777847405,,,
2023-05-15,191.6152695390276,195.69914133258754,191.0026887699936,194.1472625732422,4217892,,,192.21885964358293,191.87464514557496,63.832899017715306,,,
2023-05-16,195.00485691156658,197.41433851483998,193.94304786824665,196.8017578125,6016484,,,192.76555466693486,192.28335810151037,70.86878739830283,,,
2023-05-17,196.8017613564271,199.04789063878783,196.63840899212545,197.33267211914062,4968232,,,193.2975710691746,192.6846566359319,72.04034646374608,,,
2023-05-18,197.6593805313905,198.39447241594064,195.16821642465786,195.69912719726562,3512113,,,193.57150344562518,192.91496211580693,63.569173866808995,,,
2023-05-19,196.0258352485796,197.3326791354316,193.00377278109474,195.94415283203125,3810543,,,193.83713764262512,193.13809517090192,64.2482679533806,,,
2023-05-22,195.53577458711524,197.00597091108352,193.94306709572777,194.9640350341797,2891415,192.74444046020508,,193.96122684267107,193.26811699384962,59.47264919473067,,198.26913828358119,187.21974263682898
2023-05-23,195.1682255590248,196.18919348145428,193.412165717641,195.4541015625,3213453,193.06094131469726,,194.12320604879386,193.4189513734333,61.03232442498929,,198.4431947496984,187.67868787969613
2023-05-24,194.63730239352267,197.2509774489027,194.39226763080265,196.84259033203125,2422138,193.49995651245118,,194.41440118081908,193.64835203095492,65.12723444462713,,198.60491275946052,188.39500026544184
2023-05-25,197.0468076141007,197.82274073697846,194.31060861644056,196.06668090820312,3810138,193.92059555053712,,194.58925853134613,193.8060107508677,61.25354811330155,,198.37426474574792,189.4669263553263
2023-05-26,195.86246286397395,198.0269095884717,195.29072339552036,197.2509765625,2646742,194.31877365112305,,194.86799092125472,194.02491272928822,64.70432657918188,,198.45713086176758,190.18041644047852
2023-05-29,197.2918378347049,202.274153667146,196.67925709984013,201.00816345214844,8069985,194.84967651367188,,195.50494462582216,194.45810812773666,72.93856311943244,,199.52528028223426,190.1740727451095
2023-05-30,201.13067125866894,201.86576314304907,198.7211895676599,199.5379638671875,4657906,195.18455505371094,,195.91978671612483,194.76619933275822,66.40978209837161,2.1221268643285214,200.18468102430566,190.1844290831162
2023-05-31,202.4783427836383,202.4783427836383,195.4540913231005,197.0467987060547,15727646,195.3622024536133,,196.0348357149505,194.9016142941518,57.08556988830027,1.9872530040092613,200.36189438154952,190.36251052567707
2023-06-01,188.18479541978087,189.40995688075074,187.16382753563929,188.1439666748047,35509867,195.07224884033204,,195.2347869171889,194.5082957926692,37.059671728633965,1.1487384157504437,200.9610863757982,189.18341130486587
2023-06-02,186.63293204281024,190.63512122396014,186.3062273001402,188.5931854248047,36400588,194.8067970275879,,194.56551708087414,194.17043117627915,38.23702886556324,0.514526619641714,201.3274111625229,188.28618289265287
2023-06-05,188.26645898238823,188.8381984476552,187.40884355299497,187.613037109375,19807347,194.67815399169922,,193.86877408362466,193.80246774853035,36.627122476504525,-0.06641498503208254,201.64462419130797,187.71168379209047
2023-06-06,187.69475173436368,188.38900246743046,185.20358742632928,186.0612030029297,13495524,194.32898406982423,,193.09021295307755,193.3752909592362,34.17383531868259,-0.6446048321136573,202.22586311066607,186.4321050289824
2023-06-07,186.83711746787435,189.0832467489089,186.30621916846079,188.42982482910156,21853324,194.0900779724121,,192.62755792506766,193.1066799903543,40.70240145336508,-0.9013067622736912,202.38712956435842,185.7930263804658
2023-06-08,189.0015739415417,189.0015739415417,185.93867022081886,186.3062286376953,8538256,193.76132583618164,,192.0025372241817,192.74281029209268,37.145391426606174,-1.2615588907759445,202.71867883023634,184.80397284212694
2023-06-09,187.0004533775628,187.40884048363432,185.69362211592508,185.9386444091797,5137982,193.45911865234376,,191.40514312091773,192.38387144098922,36.549973727663485,-1.5587539283071408,203.02337950031895,183.89485780436857
2023-06-12,186.42872484698566,187.24549910699434,185.1218810457773,187.0413055419922,4261576,193.10382080078125,,190.97663753704975,192.10580037373614,39.67383951383623,-1.685873893803148,203.0593768338473,183.1482647677152
2023-06-13,187.85807319913462,188.10310796112194,186.22452473653345,187.00045776367188,5574798,192.61375579833984,,190.58734884332827,191.8434430674507,39.596067441232876,-1.769515582490186,202.75612739205837,182.4713842046213
2023-06-14,187.7763907908103,187.7763907908103,185.85697882504533,187.00045776367188,7034468,192.0971450805664,,190.2371076702295,191.5975611248096,39.596067441232876,-1.8148814003220366,202.27792814115915,181.91636201997366
2023-06-15,187.20465668440272,187.57220260642003,186.14284766069687,186.714599609375,6363240,191.64791870117188,,189.8939789635065,191.35248146870023,38.97595883314641,-1.8525455103584534,201.94552184380467,181.35031555853908
